,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ddPriVeri1,0.00467877374208597,0.0836891036321226,0.452456181272909,0.0140636454515162,0.278453515494835,0.00809596801066311,0.00306164611796068,0.154475841386205,0.000445184938353882,5.99800066644452e-06,9.16361212929024e-05,0.000174608463845385,5.96467844051983e-05,0.000169943352215928,6.66444518493835e-07,1.26624458513829e-05,1.6327890703099e-05,1.6327890703099e-05,3.2322559146951e-05
ddSalCapr1,0.17111496167944,0.444915361546151,0.104481506164612,0.0448523825391536,0.225910363212263,0.00380473175608131,0.00128090636454515,0.00202032655781406,0.00135221592802399,8.33055648117294e-06,4.36521159613462e-05,5.6647784071976e-05,1.76607797400866e-05,4.49850049983339e-05,2.59913362212596e-05,3.6654448517161e-06,0,5.99800066644452e-06,6.03132289236921e-05
ddVioOdor1,0.189460771276596,0.0745984042553191,0.228616688829787,0.239672539893617,0.096780585106383,0.108019281914894,0.00256582446808511,0.00983244680851064,0.000264960106382979,8.97606382978723e-06,3.75664893617021e-05,0.0339175531914894,0.00531648936170213,0.000732380319148936,0.00164594414893617,0.00234640957446809,2.32712765957447e-05,0.00207380319148936,0.00408610372340426
dhAlnGlut1,0.00428142714238079,0.272468156052017,0.205762920973658,0.0760343447815939,0.422207069023008,0.00300400133377793,0.0142084028009336,0.000632877625875292,0.000849283094364788,7.66922307435812e-06,6.70223407802601e-05,0.000199066355451817,5.83527842614205e-05,0.000112370790263421,1.06702234078026e-05,4.16805601867289e-05,1.93397799266422e-05,3.00100033344448e-06,3.23441147049016e-05
dmBerVulg1,0.00491160773849233,0.218420613742495,0.214813208805871,0.016763509006004,0.475750500333556,0.013550700466978,0.00241094062708472,0.0520517011340894,0.000941627751834556,3.33555703802535e-07,4.66977985323549e-06,0.000197798532354903,2.63509006004003e-05,9.30620413609073e-05,1.10073382254837e-05,1.53435623749166e-05,1.23415610406938e-05,8.67244829886591e-06,1.60106737825217e-05
drAilAlti1,0.00365710473649099,0.065709472981988,0.429560040026684,0.042022014676451,0.417877918612408,0.00212208138759173,0.0368595730486991,0.0012374916611074,0.000631087391594396,1.66777851901268e-06,0.000124416277518346,5.07004669779853e-05,3.20213475650434e-05,6.50433622414943e-05,1.23415610406938e-05,1.66777851901268e-06,3.33555703802535e-07,4.66977985323549e-06,3.03535690460307e-05
drAstGlyc1,0.178455485161721,0.184048682894298,0.198316105368456,0.039404468156052,0.371264421473825,0.0178299433144381,0.00587362454151384,0.0011083694564855,0.000485161720573524,1.60053351117039e-05,8.66955651883961e-06,4.56818939646549e-05,0.00115471823941314,1.26708902967656e-05,0.0003081027009003,0.0010110036678893,9.33644548182728e-06,7.63587862620874e-05,0.000571190396798933
drBuxSemp1,0.0273567855951984,0.167341780593531,0.237683894631544,0.197286762254085,0.362612870956986,0.00328242747582528,0.00202334111370457,0.0015081693897966,0.000448816272090697,1.03367789263088e-05,2.66755585195065e-05,0.000140380126708903,4.03467822607536e-05,2.50083361120373e-05,1.46715571857286e-05,6.96898966322107e-05,2.33411137045682e-05,5.66855618539513e-05,4.80160053351117e-05
drChaAngu1,0.00789266666666667,0.256612666666667,0.190789333333333,0.00655833333333333,0.318856333333333,0.0105136666666667,0.00286066666666667,0.203718666666667,0.000177,1.56666666666667e-05,2.3e-05,3.46666666666667e-05,0.001773,3.83333333333333e-05,7.06666666666667e-05,8e-06,4e-05,3.33333333333333e-07,1.7e-05
drCraLaev2,0.00361687229076359,0.112602534178059,0.292274424808269,0.00670123374458153,0.574320773591197,0.00307902634211404,0.00595731910636879,0.000874624874958319,0.000232077359119707,1.00033344448149e-06,4.63487829276425e-05,5.50183394464822e-05,8.03601200400133e-05,7.33577859286429e-05,3.33444481493831e-07,6.66888962987663e-07,1.53384461487162e-05,1.00033344448149e-05,5.86862287429143e-05
