Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
ilCarPala2	ilCarPala2	Carterocephalus palaemon	Arctic skipper	40093	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCarQuer1	ilCarQuer1	Carcina quercana	long horned flat body	2681869	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCatFrax1	ilCatFrax1	Catocala fraxini	Cliften non pareil	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCelArgi3	ilCelArgi3	Celastrina argiolus	holly blue	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilChaFerr1	ilChaFerr1	Charanyca ferruginea	brown rustic	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCheLega1	ilCheLega1	Chesias legatella	.	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilChlSite2	ilChlSite2	Chloroclysta siterata	red green carpet	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilChrCulm1	ilChrCulm1	Chrysoteuchia culmella	garden grass veneer	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCloCurt1	ilCloCurt1	Clostera curtula	chocolate tip	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilColCroc2	ilColCroc2	Colias croceus	clouded yellow	7114	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilColFlav1	ilColFlav1	Coleophora flavipennella	tipped oak case bearer	173644	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilConVacc3	ilConVacc3	Conistra vaccinii	the chestnut	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCosPyra2	ilCosPyra2	Cosmia pyralina	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCosTrap1	ilCosTrap1	Cosmia trapezina	dun bar pinion	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCraLigu1	ilCraLigu1	Craniophora ligustri	coronet	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCroElin1	ilCroElin1	Crocallis elinguaria	scalloped oak	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCyaSemi1	ilCyaSemi1	Cyaniris semiargus	mazarine blue	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCybMeso1	ilCybMeso1	Cybosia mesomella	.	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCydAmpl1	ilCydAmpl1	Cydia amplana	.	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCydSple1	ilCydSple1	Cydia splendana	marbled piercer	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCydStro3	ilCydStro1	Cydia strobilella	spruce seed moth	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilCydStro3	ilCydStro3	Cydia strobilella	spruce seed moth	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDeiPorc1	ilDeiPorc1	Deilephila porcellus	small elephant hawk moth	7128	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDiaChry1	ilDiaChry1	Diachrysia chrysitis	burnished brass	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDiaMend1	ilDiaMend1	Diaphora mendica	muslin	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDiaRubi1	ilDiaRubi1	Diarsia rubi	small square spot	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDicOoxx2	ilDicOoxx2	Dicycla oo	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDilCaer1	ilDilCaer1	Diloba caeruleocephala	figure of eight	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDreFalc1	ilDreFalc1	Drepana falcataria	pebble hook tip	104425	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDryErem1	ilDryErem1	Dryobotodes eremita	brindled green	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDryLabe1	ilDryLabe1	Dryobota labecula	oak rustic	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilDryRufi1	ilDryRufi1	Drymonia ruficornis	lunar marbled brown	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEclSila1	ilEclSila1	Ecliptopera silaceata	small phoenix	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEilCani1	ilEilCani1	Eilema caniola	.	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEilDepe1	ilEilDepe1	Eilema depressum	buff footman	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEilSoro1	ilEilSoro1	Eilema sororcula	orange footman	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEleCory1	ilEleCory1	Electrophaes corylata	broken barred carpet	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEleSimi1	ilEleSimi1	Elegia similella	white barred knot horn	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEmmMono1	ilEmmMono1	Emmelina monodactyla	common plume	186111	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEndFlam1	ilEndFlam1	Endotricha flammealis	rose flounced tabby	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEnnFusc2	ilEnnFusc2	Ennomos fuscantarius	dusky thorn	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEnnQuei1	ilEnnQuei1	Ennomos quercinarius	August thorn	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEpiBilu1	ilEpiBilu1	Epinotia bilunana	crescent bell	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEpiDema1	ilEpiDema1	Epinotia demarniana	birch bell	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEpiNise2	ilEpiNise2	Epinotia nisella	grey poplar bell	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEpiRame1	ilEpiRame1	Epinotia ramella	small birch bell	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEraDefo1	ilEraDefo1	Erannis defoliaria	mottled umber	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEreAeth2	ilEreAeth2	Erebia aethiops	Scotch argus	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEreLige1	ilEreLige1	Erebia ligea	Arran brown	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEryTage1	ilEryTage1	Erynnis tages	dingy skipper	40093	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEspSulp1	ilEspSulp1	Esperia sulphurella	sulphur tubic	57992	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEucMixx1	ilEucMixx1	Euclidia mi	Mother Shipton	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEudProf1	ilEudProf1	Eudemis profundana	diamond back marble	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEugGlar6	ilEugGlar6	Eugnorisma glareosa	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEulPrun1	ilEulPrun1	Eulithis prunata	the phoenix	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEulTest2	ilEulTest2	Eulithis testata	.	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupAbbr2	ilEupAbbr2	Eupithecia abbreviata	brindled pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupCent1	ilEupCent1	Eupithecia centaureata	lime speck pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupDodo1	ilEupDodo1	Eupithecia dodoneata	oak tree pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupExig1	ilEupExig1	Eupithecia exiguata	mottled pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupInsi1	ilEupInsi1	Eupithecia insigniata	pinion spotted pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupLuci1	ilEupLuci1	Euplexia lucipara	small angle shades	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupSimi1	ilEupSimi1	Euproctis similis	yellow tail	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupTran1	ilEupTran1	Eupsilia transversa	the satellite	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEupVulg1	ilEupVulg1	Eupithecia vulgata	common pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilEuzPing2	ilEuzPing2	Euzophera pinguis	ash bark knot horn	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilFabAdip1	ilFabAdip1	Fabriciana adippe	high brown fritillary	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilFurFurc1	ilFurFurc1	Furcula furcula	sallow kitten	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilGanPyra1	ilGanPyra1	Gandaritis pyraliata	barred straw	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilGlaAlex1	ilGlaAlex1	Glaucopsyche alexis	green underside blue	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilGriApri1	ilGriApri1	Griposia aprilina	merveille du jour	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilGymRufi1	ilGymRufi1	Gymnoscelis rufifasciata	double striped pug	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHabPyri1	ilHabPyri1	Habrosyne pyritoides	buff arches	104425	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHecDyso1	ilHecDyso1	Hecatera dysodea	small ranunculus	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHedSali1	ilHedSali1	Hedya salicella	white backed marble	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHemAest2	ilHemAest2	Hemithea aestivaria	common emerald	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHemChry1	ilHemChry1	Hemistola chrysoprasaria	small emerald	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHerTari1	ilHerTari1	Herminia tarsipennalis	the fan foot	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHesComm1	ilHesComm1	Hesperia comma	common branded skipper	40093	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHipSeme1	ilHipSeme1	Hipparchia semele	rock grayling	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHofPseu3	ilHofPseu3	Hofmannophila pseudospretella	brown house moth	57992	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHydFurc1	ilHydFurc1	Hydriomena furcata	July highflyer	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHydMica1	ilHydMica1	Hydraecia micacea	rosy rustic	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHylFasc1	ilHylFasc1	Hylaea fasciaria	barred red	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHypCost1	ilHypCost1	Hypsopygia costalis	gold triangle	7135	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilHypProb1	ilHypProb1	Hypena proboscidalis	the snout	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilIdaAver1	ilIdaAver1	Idaea aversata	riband wave	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilIncMasc1	ilIncMasc1	Incurvaria masculella	.	98958	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLacWlai2	ilLacWlai2	Lacanobia wlatinum	light brocade	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLamSuff1	ilLamSuff1	Lampropteryx suffumata	water carpet	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLaoPopu1	ilLaoPopu1	Laothoe populi	poplar hawk moth	7128	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLasFlex1	ilLasFlex1	Laspeyria flexula	beautiful hook tip	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLasMege1	ilLasMege1	Lasiommata megera	wall brown	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLatStri6	ilLatStri6	Lathronympha strigana	.	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLepSina1	ilLepSina1	Leptidea sinapis	wood white	7114	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLeuSali1	ilLeuSali1	Leucoma salicis	white satin	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLigAdus1	ilLigAdus1	Ligdia adustata	scorched carpet	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLimCami1	ilLimCami1	Limenitis camilla	white admiral	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLitOrni1	ilLitOrni1	Lithophane ornitopus	grey shoulder knot	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLitSemi2	ilLitSemi2	Lithophane semibrunnea	tawny pinion	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLitSoci1	ilLitSoci1	Lithophane socia	pale pinion	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLobHalt1	ilLobHalt1	Lobophora halterata	the seraphim	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLomBima1	ilLomBima1	Lomographa bimaculata	white pinioned spotted	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLupTest1	ilLupTest1	Luperina testacea	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLycHirt1	ilLycHirt1	Lycia hirtaria	brindled beauty	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLycPhla1	ilLycPhla1	Lycaena phlaeas	small copper	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLymMona1	ilLymMona1	Lymantria monacha	black arches	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLysBell1	ilLysBell1	Lysandra bellargus	Adonis blue	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilLysCori1	ilLysCori1	Lysandra coridon	chalkhill blue	27544	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMacNota1	ilMacNota1	Macaria notata	peacock moth	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMamBras1	ilMamBras1	Mamestra brassicae	cabbage moth	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilManJurt1	ilManJurt1	Maniola jurtina	meadow brown	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilManJurt1	ilManJurt4	Maniola jurtina	meadow brown	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMarLuna1	ilMarLuna1	Marasmarcha lunaedactyla	crescent plume	186111	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMegAlbu1	ilMegAlbu1	Meganola albula	Kent black arches	319783	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMelAtha1	ilMelAtha1	Mellicta athalia	heath fritillary	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMelCinx1	ilMelCinx1	Melitaea cinxia	Glanville fritillary	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMelGala2	ilMelGala2	Melanargia galathea	marbled white	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMelPers1	ilMelPers1	Melanchra persicariae	dot moth	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMesFuru1	ilMesFuru1	Mesoligia furuncula	cloaked minor	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMilMini2	ilMilMini2	Miltochrista miniata	rosy footman	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMimTili1	ilMimTili1	Mimas tiliae	lime hawk moth	7128	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMonLaev2	ilMonLaev1	Monopis laevigella	skin moth	41012	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMonLaev2	ilMonLaev2	Monopis laevigella	skin moth	41012	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMusNiti1	ilMusNiti1	Musotima nitidalis	.	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMytAlbi1	ilMytAlbi1	Mythimna albipuncta	white point	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMytFerr1	ilMytFerr1	Mythimna ferrago	the clay	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilMytImpu1	ilMytImpu1	Mythimna impura	smoky wainscot	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNemSwae1	ilNemSwae1	Nematopogon swammerdamellus	large long horn	30222	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNocFimb1	ilNocFimb1	Noctua fimbriata	broad bordered yellow underwing	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNocJant1	ilNocJant1	Noctua janthe	tesser broad boardered yellow underwing	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNocPron1	ilNocPron1	Noctua pronuba	large yellow underwing	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNotDrom1	ilNotDrom1	Notodonta dromedarius	iron prominent	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNotUddm1	ilNotUddm1	Notocelia uddmanniana	bramble shoot	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNotZicz1	ilNotZicz1	Notodonta ziczac	pebble prominent	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNycReva1	ilNycReva1	Nycteola revayana	oak Nycteoline	319783	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNymNiti1	ilNymNiti1	Nymphula nitidulata	beautiful china mark	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilNymPoly1	ilNymPoly1	Nymphalis polychloros	large tortoiseshell	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOchPlec1	ilOchPlec1	Ochropleura plecta	flame shoulder	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOchSylv3	ilOchSylv3	Ochlodes sylvanus	large skipper	40093	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOliLatr1	ilOliLatr1	Oligia latruncula	.	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOmpLuno1	ilOmpLuno1	Omphaloscelis lunosa	lunar underwing	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOpeBrum1	ilOpeBrum1	Operophtera brumata	winter moth	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOpiLute1	ilOpiLute1	Opisthograptis luteolata	brimstone moth	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOrgAnti1	ilOrgAnti1	Orgyia antiqua	rusty tussock moth	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOrgAnti1	ilOrgAnti2	Orgyia antiqua	rusty tussock moth	695564	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOrtGrac1	ilOrtGrac1	Orthosia gracilis	powdered quaker	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilOrtInce1	ilOrtInce1	Orthosia incerta	clouded drab	7100	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPamAuri1	ilPamAuri1	Pammene aurita	sycamore piercer	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPamFasc1	ilPamFasc1	Pammene fasciana	acorn piercer	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPanCinn1	ilPanCinn1	Pandemis cinnamomeana	white faced tortrix	7139	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPapMach1	ilPapMach1	Papilio machaon	common yellow swallowtail	7143	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilParAegt1	ilParAegt1	Pararge aegeria	speckled wood	33415	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilParStra1	ilParStra1	Parapoynx stratiotata	ringed china mark	268499	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPerRhom1	ilPerRhom1	Peribatodes rhomboidaria	willow beauty	82593	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPhaBuce1	ilPhaBuce1	Phalera bucephala	buff tip	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPheGnom1	ilPheGnom1	Pheosia gnoma	lesser swallow prominent	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
ilPheTrem1	ilPheTrem1	Pheosia tremula	swallow prominent	37571	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Amphiesmenoptera
