Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
drIleAqui2	drIleAqui2	Ilex aquifolium	English holly	4294	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Aquifoliales
drMalDome5	drMalDome5	Malus domestica	apple	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drMalDome10	drMalDome10	Malus domestica	apple	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drMalDome11	drMalDome11	Malus domestica	apple	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drMalRobu1	drMalRobu1	Malus x robusta	Robusta 5	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drMalSylv7	drMalSylv7	Malus sylvestris	.	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drMedArab1	drMedArab1	Medicago arabica	.	3803	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fabales
drMedLupu1	drMedLupu1	Medicago lupulina	.	3803	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Fabales
drParJuda1	drParJuda1	Parietaria judaica	.	3499	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drPotAnse1	drPotAnse1	Potentilla anserina	.	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drPotSter1	drPotSter1	Potentilla sterilis	.	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
drPruPadu1	drPruPadu1	Prunus padus	bird cherry	3745	Eukaryota	Viridiplantae	Streptophyta	Streptophytina	Magnoliopsida	.	.	Rosales
