,0,1,2,3,4,5,6,7,8,9,10,11,12
dcPolAvic1,0.131803732089304,0.671658447184272,0.114065311562812,0.0548780406531156,0.0238180606464512,0.00287870709763412,0.00020759746751083,0.00024758413862046,0.000139286904365212,3.16561146284572e-05,4.63178940353216e-05,1.89936687770743e-05,0.000206264578473842
ddPopNigr1,0.0948667554963358,0.615306129247169,0.00625649566955363,0.264343437708195,0.00624317121918721,0.0105496335776149,0.000704197201865423,0.00162225183211193,4.59693537641572e-05,3.99733510992672e-05,9.99333777481679e-06,3.3311125916056e-06,8.66089273817455e-06
ddPriVeri1,0.0139673442185938,0.545413195601466,0.00950449850049983,0.300232255914695,0.126404531822726,0.00333122292569144,0.000334888370543152,0.000502165944685105,4.83172275908031e-05,3.76541152949017e-05,7.99733422192603e-06,0.000201599466844385,1.43285571476175e-05
ddSalCapr1,0.152557147617461,0.58524758413862,0.0664848383872043,0.175825724758414,0.017481839386871,0.00127390869710097,0.000532822392535821,0.000502499166944352,6.59780073308897e-05,1.56614461846051e-05,7.33088970343219e-06,2.99900033322226e-06,1.66611129623459e-06
dhAlnGlut1,0.00715638546182061,0.489407802600867,0.0895775258419473,0.391673224408136,0.00498499499833278,0.0160070023341114,0.000930976992330777,0.00014971657219073,5.3351117039013e-05,1.43381127042347e-05,5.66855618539513e-06,9.33644548182728e-06,2.9676558852951e-05
dmBerVulg1,0.00648065376917945,0.445956971314209,0.0195740493662442,0.473157438292195,0.0511434289526351,0.00246764509673115,0.00101634422948632,7.40493662441628e-05,8.67244829886591e-06,3.56904603068712e-05,1.90126751167445e-05,8.67244829886591e-06,5.7371581054036e-05
drAilAlti1,0.0103148765843896,0.505578719146097,0.00298232154769847,0.44629119412942,0.00523582388258839,0.0287378252168112,0.000741494329553035,7.80520346897932e-05,9.33955970647098e-06,8.67244829886591e-06,1.46764509673115e-05,5.00333555703803e-06,2.00133422281521e-06
drBuxSemp1,0.0395371790596866,0.403413137712571,0.16561153717906,0.379857619206402,0.00866088696232077,0.00230676892297432,0.000273757919306435,7.96932310770257e-05,7.33577859286429e-05,0.000125041680560187,3.23441147049016e-05,8.33611203734578e-06,2.03401133711237e-05
drChaAngu1,0.0296263333333333,0.450036,0.00415433333333333,0.343199666666667,0.169411666666667,0.00300666666666667,0.000214333333333333,0.000178666666666667,1.66666666666667e-06,3.33333333333333e-07,4.26666666666667e-05,0.000116666666666667,1.1e-05
drCraLaev2,0.00598832944314772,0.409148716238746,0.008891963987996,0.564953651217072,0.00375558519506502,0.00683061020340113,0.000264088029343114,6.36878959653218e-05,5.40180060020007e-05,2.13404468156052e-05,1.43381127042347e-05,4.33477825941981e-06,9.33644548182728e-06
