Reference sample,Sample,Common name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ilZygFili1,ilZygFili1,6-spot burnet,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae
inChrCarn1,inChrCarn1,Common green lacewing,Eukaryota,Metazoa,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,Chrysoperla carnea
ioIscEleg1,ioIscEleg1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans
ioPlaPenn1,ioPlaPenn1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Odonata,Platycnemididae,Platycnemis,Platycnemis pennipes
ioSymStri1,ioSymStri1,Common darter,Eukaryota,Metazoa,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum striolatum
ipIsoGram3,ipIsoGram3,Common yellow sally,Eukaryota,Metazoa,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla grammatica
ipLeuNigr2,ipLeuNigr2,.,Eukaryota,Metazoa,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra nigra
ipNemDubi1,ipNemDubi1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemoura,Nemoura dubitans
ipNemPict2,ipNemPict2,.,Eukaryota,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Nemurella,Nemurella pictetii
ipProMont4,ipProMont4,.,Eukaryota,Metazoa,Arthropoda,Insecta,Plecoptera,Nemouridae,Protonemura,Protonemura montana
iyAllPice1,iyAllPice1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Alloplasta,Alloplasta piceator
iyAmbArma2,iyAmbArma2,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Amblyteles,Amblyteles armatorius
iyAncNigr1,iyAncNigr1,Early mason-wasp,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Ancistrocerus,Ancistrocerus nigricornis
iyAndBuce1,iyAndBuce1,Big-headed mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena bucephala
iyAndDors1,iyAndDors1,Short-fringed mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena dorsata
iyAndFulv1,iyAndFulv1,Tawny mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fulva
iyAndHaem1,iyAndHaem1,Red-tailed mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena haemorrhoa
iyAndHatt1,iyAndHatt1,Large scabious mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena hattorfiana
iyAndMinu1,iyAndMinu1,Common mini-mining bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena,Andrena minutula
iyAnoNige1,iyAnoNige1,.,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Pompilidae,Anoplius,Anoplius nigerrimus
iyAthRosa1,iyAthRosa2,Turnip sawfly,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Athalia,Athalia rosae
iyAthRosa1,iyAthRosa1,Turnip sawfly,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Athalia,Athalia rosae
iyBomCamp1,iyBomCamp1,Field cuckoo-bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus campestris
iyBomHort1,iyBomHort1,Garden bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hortorum
iyBomHypn1,iyBomHypn1,Tree bumblebee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus hypnorum
iyBomPasc1,iyBomPasc1,Common carder bee,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
